正面,背面
Estaba desmayada en el suelo durante el brindis.,她在敬酒时昏倒在地上。
Tengo un gato nervioso que se esconde.,我有一只紧张爱躲的公猫。
Tengo una gata tranquila que disfruta de la calma.,我有一只安静享受安宁的母猫。
"Mi amigo sigue soltero, pero ya le han presentado a alguien.",我朋友还是单身，但已经有人给他牵线了。
Mi prima está soltera y quiere conocer gente.,我表妹单身，她想认识人。
Gozo de buena salud y por eso puedo bailar toda la noche.,我身体很好，所以可以跳一整晚。
Disfrutamos de la fiesta desde la ceremonia hasta la última canción.,我们从仪式开始一直享受这场派对到最后一首歌。
Observo cómo reaccionan los invitados cuando leen las cartas.,我观察宾客读信时的反应。
Investigo el plan del banquete con el restaurante.,我跟餐厅核对宴请的流程安排。
El gato maúlla cuando suena la música fuerte.,音乐一大声，猫就开始叫。
Cuido a mi abuela durante la boda.,我在婚礼当天照顾奶奶。
Cuido de los niños mientras juegan.,孩子玩的时候我照看他们。
Las naranjas están a 3 euros el kilo en el mercado.,橙子在市场里每公斤3欧元。
Las manzanas cuestan 2.5 euros el kilo si compras hoy.,苹果如果今天买，每公斤2.5欧元。
La coliflor se vende a 4 euros el kilo en esta tienda.,菜花在这家店每公斤卖4欧元。
¿Estás casado?,你结婚了吗？
No. (Estoy) soltero.,不。（我）单身。
Sí.,是。
¿De dónde eres?,你来自哪里？
"Soy de China. (Soy de Beijing, Shanghai...)",我来自中国。（我来自北京、上海…）
¿Tienes hermanos?,你有兄弟姐妹吗？
"Sí, dos hermanas.",是的，有两个姐妹。
No.,没有。
¿En qué trabajas?,你做什么工作？
Soy profesor.,我是老师。
¿Cuántos años tiene tu hermano? (¿Qué edad tiene...),你兄弟多大了？（他几岁…）
Veinticinco.,二十五。
¿Cómo es tu hermano?,你兄弟长什么样？
"Es alto, tiene los ojos negros y lleva barba...",他很高，黑眼睛，还留胡子…
Mi hija Lucía es muy simpática.,我女儿露西亚很讨人喜欢。
Mi dormitorio está al lado del de Paco.,我的卧室在帕科的（卧室）旁边。
Nada quiero decir ahora; estoy nervioso.,我现在什么都不想说；我有点紧张。
No entiendo nada de la explicación de hoy.,我完全听不懂今天的讲解。
Tampoco quiero ir al evento de esta noche.,今晚的活动我也不想去。
Tampoco quiero ir al trabajo extra.,我也不想去加班。
¿Te dejo las llaves aquí en recepción o me las llevo?,钥匙要不我先留在前台给你，还是我拿着走？
Tengo que probarme los zapatos.,我得试穿一下这双鞋。
Voy a levantarme.,我要起床了。
Aquí está.,给你
Aquí lo tienes.,给你/在这里
Felicidades por tu 18 cumpleaños.,祝你18岁生日快乐
No importa.,没关系
No necesito cambio; pago con tarjeta.,不用找零，我刷卡付。
No es para tanto; te lo explico despacio.,没那么严重；我慢慢给你讲。
No fui puesto que estaba enfermo y tenía fiebre.,我没去，因为我病了而且发烧。
No juegues con tu salud.,别拿身体开玩笑。
"Por el contrario, no estoy de acuerdo con eso.",相反，我不同意那样的说法。
Estoy en medio de la calle; ten cuidado.,我在马路中间；小心点。
Estoy listo para salir; solo tengo que coger las llaves.,我准备好出门了；我只差拿钥匙。
"Hablaba mucho, pero en realidad no sabía nada del examen.",他话很多，但实际上他根本不懂考试内容。
"A comienzos del semestre, entregué los ejercicios al profesor.",在学期初，我把作业交给老师。
Ahora estudio más que nunca porque quiero aprobar el examen.,我现在比以往更用功，因为我想通过考试。
"Cuando llegamos, las mesas estaban puestas y ya olía a comida.",我们到时桌子已经摆好了，饭菜香味都出来了。
De ordinario llego a las ocho a casa.,通常我八点到家。
De repente empezó a llover cuando salíamos de casa.,我们刚要出门时突然下起雨来。
De vez en cuando voy al cine con mi hermano.,我偶尔会和我哥哥一起去看电影。
"Desde luego, vamos ahora mismo.",当然，我们现在就走。
El ir y venir del trabajo le cansa; pasa casi dos horas al día en transporte.,上下班往返把他累坏了；他每天在交通上差不多两小时。
El éxito consiste en el esfuerzo diario y la constancia.,成功在于每天的努力和坚持。
Estoy tomando notas en clase y luego las paso a mi cuaderno.,我在课上记笔记，之后再整理到本子上。
"Hay muchos idiomas, entre otros español e inglés, y cada uno tiene su cultura.",有很多语言，其中包括西班牙语和英语，每一种都有自己的文化。
"Hoy en día, se puede aprender español con apps y audios.",如今，学西语可以靠软件和音频。
La empresa cuenta con cien empleados y un equipo de apoyo al cliente.,这家公司有一百名员工，还有客服支持团队。
Llegué tarde debido al atasco de ayer en la avenida.,我因为昨天大道堵车而迟到了。
"Llegué un poco antes de las ocho, así pude coger sitio.",我八点前一点到，这样我能先占个座。
Los niños estaban muertos de miedo durante la tormenta; temblaban.,暴风雨期间孩子们吓得要死，都在发抖。
"Me gusta el español, sobre todo cuando practicamos la pronunciación.",我喜欢西班牙语，尤其是我们练发音的时候。
Me hice amigo de Luis en el curso de español.,我和 Luis 在西语课上成了朋友。
Muchas gracias por esperarme.,非常感谢你等我。
Muchas gracias. Gracias a usted también por su ayuda.,非常感谢。也谢谢您帮忙。
Echo mucho de menos la vida universitaria; extraño la biblioteca.,我很想念大学生活；我也想念图书馆。
"En realidad, ya estamos en verano y queda poco tiempo.",其实我们已经是夏天了，时间不多了。
La señora es profesora de español.,这位女士是西班牙语老师。
Me di cuenta de que él no quería hablar conmigo en serio.,我发现他根本没想跟我好好谈。
No tiene trabajo.,他没有工作
No trabaja.,他没有工作
Salieron en busca de agua potable.,他们出去找饮用水。
Se fue la luz anoche justo cuando estaba cocinando.,昨晚我做饭时刚好停电了。
Se les suelen ocurrir unas ideas muy buenas cuando trabajan en equipo.,他们一组队工作时通常会想出很好的主意。
Te conozco de oídas.,我听说过你。
Te echo de menos desde que te fuiste.,你走了之后我就很想你。
Todos te echamos mucho de menos; nos vemos en septiembre.,我们大家都很想你；九月见。
Tuvo que guardar cama una semana por la gripe.,他不得不因感冒卧床一周。
Uso el transporte público para ahorrar tiempo y dinero.,我用公共交通省时间也省钱。
Vale la pena visitar el museo este fin de semana.,这周末去参观博物馆很值得。
Vivo en la Ciudad de México y me encanta caminar.,我住在墨西哥城，我很喜欢散步。
Voy a pedir permiso al jefe para salir antes por la consulta.,我想向领导请假，因看诊要提前下班。
Voy al café Gijón para revisar los anuncios de alquiler con calma.,我去西洪咖啡厅慢慢看租房广告。
Vale.,"(表示赞同)行, 好。"
¡Chao!,再见
¡Chao! Nos vemos.,再见！回头见。
¡Cuánto lo siento!,很遗憾！
¡Cómo se te ocurrió hacer eso justo antes de la entrevista!,你怎么想得出来，偏偏在面试前干那种事！
¡Huy!,嗬!
¡Qué bien!,太好了
¡uf!,"(表示疲倦, 厌烦, 气闷等) 唉"
¿A qué hora?,几点
¿Adónde?,去哪里
¿Cuál es tu estado civil para el formulario?,表格里你的婚姻状况是什么？
¿Cuándo?,什么时候
¿Cuánto/a/os/as?,多少
¿Cómo te encuentras?,你（身体/心情）怎么样？
¿Cómo te va en el trabajo?,这个工作对你怎么样？
¿Cómo?,怎么/如何
¿De dónde?,从哪里
¿De quién?,谁的
¿Dónde?,在哪里
¿En qué?,在什么
¿Quién?,谁
¿Qué tal?,怎么样？
¿Vale?,好吗？
¿qué te parece?,你觉得怎么样？
¿De quién es este libro?,这本书是谁的？
